2018-11-19 17:02:50.317---666--- [main] INFO  com.stylefeng.guns.GunsApplication - Starting GunsApplication on DESKTOP-91GG5CF with PID 10352 (D:\soft\git\personnel\code\personnel\target\classes started by EDZ in D:\soft\git\personnel\code\personnel)
2018-11-19 17:02:50.319---666--- [main] INFO  com.stylefeng.guns.GunsApplication - The following profiles are active: dev
2018-11-19 17:02:50.346---666--- [main] INFO  o.s.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@38afe297: startup date [Mon Nov 19 17:02:50 CST 2018]; root of context hierarchy
2018-11-19 17:02:50.972---666--- [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'sessionInterceptor' with a different definition: replacing [Generic bean: class [com.stylefeng.guns.core.intercept.SessionInterceptor]; scope=singleton; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [D:\soft\git\personnel\code\personnel\target\classes\com\stylefeng\guns\core\intercept\SessionInterceptor.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=webConfig; factoryMethodName=sessionInterceptor; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/stylefeng/guns/config/web/WebConfig.class]]
2018-11-19 17:02:51.286---666--- [main] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.stylefeng.guns.config.web.ShiroConfig$$EnhancerBySpringCGLIB$$e41cea1f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-19 17:02:51.328---666--- [main] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'webConfig' of type [com.stylefeng.guns.config.web.WebConfig$$EnhancerBySpringCGLIB$$7e017b62] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-19 17:02:51.353---666--- [main] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeCookie' of type [org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-19 17:02:51.535---666--- [main] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeManager' of type [org.apache.shiro.web.mgt.CookieRememberMeManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-19 17:02:51.539---666--- [main] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'ehCacheConfig' of type [com.stylefeng.guns.config.EhCacheConfig$$EnhancerBySpringCGLIB$$ef2c6a27] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-19 17:02:51.543---666--- [main] INFO  org.springframework.cache.ehcache.EhCacheManagerFactoryBean - Initializing EhCache CacheManager
2018-11-19 17:02:51.616---666--- [main] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'ehcache' of type [org.springframework.cache.ehcache.EhCacheManagerFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
